n,t_ns,swaps
1097499,4.0025120000e+08,63364434
1097499,4.1638740000e+08,68271737
1097499,3.6502420000e+08,54230284
1097499,4.0642130000e+08,60301031
1097499,4.0249110000e+08,57532891
1097499,3.9809920000e+08,61603944
1097499,4.1287410000e+08,62645275
1097499,3.9082870000e+08,59896263
1097499,4.0048170000e+08,63100457
1097499,3.8617180000e+08,58599242
1232847,4.4463990000e+08,66979984
1232847,4.6202200000e+08,72458391
1232847,4.7131820000e+08,72104221
1232847,5.0841160000e+08,79324709
1232847,5.0567190000e+08,79077053
1232847,4.9286640000e+08,76255067
1232847,4.8799790000e+08,75526424
1232847,4.6785420000e+08,68731344
1232847,4.9882030000e+08,76197131
1232847,4.4123720000e+08,66244269
1384886,5.1883410000e+08,83247055
1384886,5.5724870000e+08,82832488
1384886,5.1168120000e+08,78494313
1384886,5.4133710000e+08,85657708
1384886,5.2755010000e+08,85116210
1384886,5.3752690000e+08,87672840
1384886,4.9230070000e+08,75984388
1384886,4.9948760000e+08,77599192
1384886,5.5506340000e+08,93375115
1384886,5.4411880000e+08,85086837
1555676,6.4160680000e+08,107666015
1555676,5.7787400000e+08,89611289
1555676,6.1689370000e+08,95820990
1555676,6.0471420000e+08,98426517
1555676,6.3793080000e+08,94906039
1555676,6.1022830000e+08,97901502
1555676,5.9160830000e+08,95897737
1555676,6.0518810000e+08,94268542
1555676,5.8449250000e+08,93953298
1555676,5.9839750000e+08,97501469
1747528,6.8137600000e+08,110605207
1747528,6.5572710000e+08,102479356
1747528,6.7448550000e+08,106813588
1747528,6.8062620000e+08,110132315
1747528,6.5888260000e+08,102347704
1747528,7.0844770000e+08,118680878
1747528,6.9631680000e+08,115047476
1747528,6.6969700000e+08,108645458
1747528,7.2053310000e+08,119434494
1747528,6.6390210000e+08,106998316
1963041,7.5574210000e+08,121917748
1963041,7.6690410000e+08,123278897
1963041,7.9697330000e+08,131645798
1963041,8.2481090000e+08,141410756
1963041,7.6062150000e+08,120852865
1963041,7.4041920000e+08,117193749
1963041,7.8738230000e+08,130010768
